,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
0,Sat Jan 25 23:06:16 +0000 2020,1221207687461068800,1221207687461068800,@manuelawag @UConn @DLilloMartin I am so excited! Amazing work!,False,"[33, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209376302647214e+18,1220937630264721408,2167294629.0,2167294629,manuelawag,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'manuelawag', 'name': 'Manuela Wagner', 'id': 2167294629, 'id_str': '2167294629', 'indices': [0, 11]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [12, 18]}, {'screen_name': 'DLilloMartin', 'name': 'Prof. Diane Lillo-Martin, Ph.D.', 'id': 1898555095, 'id_str': '1898555095', 'indices': [19, 32]}]",[],en,recent,1286542002,1286542002,Jocelyn Carmen Tamborello-Noble ☀️,JocelynTNoble,"West Hartford, CT",Educator| #Kidsfirst|Chilena 🇨🇱| Wife|Mamá of dos|🐕#UCONN Neag School 🏫 |Alumni Relations Chair| CTCOLT Board 🐴| #Ally 🌈 #Equityismylanguage,,[],False,2154,3687,38,Thu Mar 21 17:47:12 +0000 2013,6842,,,True,False,2309,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1109481978682884096/Zz4BECW0_normal.jpg,https://pbs.twimg.com/profile_images/1109481978682884096/Zz4BECW0_normal.jpg,https://pbs.twimg.com/profile_banners/1286542002/1560634865,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,485ebc6dbebdbf32,https://api.twitter.com/1.1/geo/id/485ebc6dbebdbf32.json,city,West Hartford,"West Hartford, CT",US,United States,[],Polygon,"[[[-72.786564, 41.717959], [-72.713899, 41.717959], [-72.713899, 41.806675], [-72.786564, 41.806675]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 18:37:04 +0000 2020,1220777554572910592,1220777554572910592,"Yesterday, #SexualCitizens authors 
@JenniferSHirsch &amp; @shamuskhan
 were interviewed on @npr by @ailsachang! On 4/27, they'll visit 
@UConn, w/lots of campus hosts: 
@DoddCenter, @hriuconn, @UCONNInCHIP P, @UConnWGSS, @UConnWomensCtr, @UConnAnthro, us, etc. Mark your calendars!!",False,"[0, 283]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,1,4,False,False,en,"[{'text': 'SexualCitizens', 'indices': [11, 26]}]",[],"[{'screen_name': 'JenniferSHirsch', 'name': 'Jennifer S. Hirsch', 'id': 2340594169, 'id_str': '2340594169', 'indices': [36, 52]}, {'screen_name': 'shamuskhan', 'name': 'Shamus Khan', 'id': 29193463, 'id_str': '29193463', 'indices': [59, 70]}, {'screen_name': 'NPR', 'name': 'NPR', 'id': 5392522, 'id_str': '5392522', 'indices': [92, 96]}, {'screen_name': 'ailsachang', 'name': 'Ailsa Chang', 'id': 12811862, 'id_str': '12811862', 'indices': [100, 111]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [137, 143]}, {'screen_name': 'DoddCenter', 'name': 'Dodd Center', 'id': 2821267343, 'id_str': '2821267343', 'indices': [170, 181]}, {'screen_name': 'hriuconn', 'name': 'HRI @ UConn', 'id': 847484979986653186, 'id_str': '847484979986653186', 'indices': [183, 192]}, {'screen_name': 'UCONNInCHIP', 'name': 'InCHIP at UConn', 'id': 139817499, 'id_str': '139817499', 'indices': [194, 206]}, {'screen_name': 'UConnWGSS', 'name': ""Women's, Gender, and Sexuality Studies"", 'id': 1005922387748147200, 'id_str': '1005922387748147200', 'indices': [210, 220]}, {'screen_name': 'UConnWomensCtr', 'name': ""UConn Women's Center"", 'id': 128286395, 'id_str': '128286395', 'indices': [222, 237]}, {'screen_name': 'UConnAnthro', 'name': 'UConn Anthropology', 'id': 3117301705, 'id_str': '3117301705', 'indices': [239, 251]}]",[],en,recent,847866423988936704,847866423988936704,GH&HR@UConnHRI,GHHR_UConn_HRI,University of Connecticut,We are the Research Program on Global Health & Human Rights at the University of Connecticut's Human Rights Institute.,https://t.co/IAZauRuAvc,[],False,45,49,0,Fri Mar 31 17:41:22 +0000 2017,97,,,False,False,49,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1039902861059088391/-EEDA_md_normal.jpg,https://pbs.twimg.com/profile_images/1039902861059088391/-EEDA_md_normal.jpg,https://pbs.twimg.com/profile_banners/847866423988936704/1490982962,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/IAZauRuAvc', 'expanded_url': 'http://humanrights.uconn.edu/research-program-on-global-health-and-human-rights/', 'display_url': 'humanrights.uconn.edu/research-progr…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 17:13:55 +0000 2020,1220756629265637378,1220756629265637378,"@KrassKrush @GovNedLamont @SenBlumenthal @ChrisMurphyCT @CTDPH @UConn @UCStudentHealth @hartfordcourant #UConn is following the CDC's guidance, including screening students for travel if they present with fever/respiratory illness. We're prepared to care for anyone who tests positive and are working with state &amp; local health departments, as I suspect are other CT institutions.",False,"[104, 383]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207358400931185e+18,1220735840093118464,1.1272782106418135e+18,1127278210641813504,KrassKrush,,,,False,0,2,False,False,en,"[{'text': 'UConn', 'indices': [104, 110]}]",[],"[{'screen_name': 'KrassKrush', 'name': 'Kidding Me', 'id': 1127278210641813504, 'id_str': '1127278210641813504', 'indices': [0, 11]}, {'screen_name': 'GovNedLamont', 'name': 'Governor Ned Lamont', 'id': 1076293903723233280, 'id_str': '1076293903723233280', 'indices': [12, 25]}, {'screen_name': 'SenBlumenthal', 'name': 'Richard Blumenthal', 'id': 278124059, 'id_str': '278124059', 'indices': [26, 40]}, {'screen_name': 'ChrisMurphyCT', 'name': 'Chris Murphy', 'id': 150078976, 'id_str': '150078976', 'indices': [41, 55]}, {'screen_name': 'CTDPH', 'name': 'CT Public Health', 'id': 35789875, 'id_str': '35789875', 'indices': [56, 62]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [63, 69]}, {'screen_name': 'UCStudentHealth', 'name': 'UConn Student Health & Wellness', 'id': 856939171, 'id_str': '856939171', 'indices': [70, 86]}, {'screen_name': 'hartfordcourant', 'name': 'Hartford Courant', 'id': 14708814, 'id_str': '14708814', 'indices': [87, 103]}]",[],en,recent,2557439172,2557439172,Stephanie Reitz,ReitzTweets,"Storrs, CT","UConn Spokesperson ... Proud to be representing a world-class university that changes lives every day through academics, service and research",https://t.co/zDp61J9fsi,[],False,524,216,7,Mon Jun 09 20:08:54 +0000 2014,1324,,,False,False,930,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1090422779588034560/1dJuXlQS_normal.jpg,https://pbs.twimg.com/profile_images/1090422779588034560/1dJuXlQS_normal.jpg,https://pbs.twimg.com/profile_banners/2557439172/1402345251,0051B3,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/zDp61J9fsi', 'expanded_url': 'http://www.uconn.edu', 'display_url': 'uconn.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 15:38:48 +0000 2020,1220732692502695937,1220732692502695937,"@SNewEngweather @jbrooksrn52585 @ashleyangl @ryanhanrahan @UConn this is true, finals week last semester",False,"[65, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200823475482706e+18,1220082347548270593,3013115918.0,3013115918,SNewEngweather,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SNewEngweather', 'name': 'Joshua Allan', 'id': 3013115918, 'id_str': '3013115918', 'indices': [0, 15]}, {'screen_name': 'jbrooksrn52585', 'name': 'JJ BROOKS', 'id': 2267737299, 'id_str': '2267737299', 'indices': [16, 31]}, {'screen_name': 'ashleyangl', 'name': 'Ashley Anglisano', 'id': 2818003723, 'id_str': '2818003723', 'indices': [32, 43]}, {'screen_name': 'ryanhanrahan', 'name': 'Ryan Hanrahan', 'id': 21619806, 'id_str': '21619806', 'indices': [44, 57]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [58, 64]}]",[],en,recent,2624061855,2624061855,jenny,gr8behavior,,uconn | ♐︎ ♒︎ ♉︎ | ig: jenny_ofray yea im bad at @‘s whatever,https://t.co/U7qduupCoi,[],False,280,632,3,Thu Jun 19 22:54:16 +0000 2014,3218,,,True,False,1166,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219104729411870720/0WDYDJZ2_normal.jpg,https://pbs.twimg.com/profile_images/1219104729411870720/0WDYDJZ2_normal.jpg,https://pbs.twimg.com/profile_banners/2624061855/1560467570,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/U7qduupCoi', 'expanded_url': 'https://youtu.be/dQw4w9WgXcQ', 'display_url': 'youtu.be/dQw4w9WgXcQ', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fri Jan 24 14:55:05 +0000 2020,1220721692152074242,1220721692152074242,RT @ResearchInColor: Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'ResearchInColor', 'name': 'Research In Color Foundation', 'id': 1130132584694984704, 'id_str': '1130132584694984704', 'indices': [3, 19]}, {'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [53, 68]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [84, 90]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [105, 114]}]",[],en,recent,1080988027948859392,1080988027948859392,Rahma Ahmed,RahmaSAhmed,,PhD student - development econ/ political econ @ LSE • LSE International Inequalities Institute fellow • World Bank consultant • Research in Colour Treasurer,https://t.co/aUl6mYeJbp,[],False,48,174,0,Fri Jan 04 00:43:24 +0000 2019,334,,,False,False,61,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221129809167822850/ifG3wD4x_normal.jpg,https://pbs.twimg.com/profile_images/1221129809167822850/ifG3wD4x_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/aUl6mYeJbp', 'expanded_url': 'http://researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",Fri Jan 24 13:01:33 +0000 2020,1.2206931181121495e+18,1220693118112149506,"Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on the relationship between gov’t policies and econ dev, and uses empirical evidence to study the impact of policies and institutions in enabling inclusive growth.",False,"[0, 279]",[],[],"[{'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [32, 47]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [63, 69]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [84, 93]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220325057639088e+18,1220325057639088128,1.1301325846949847e+18,1130132584694984704,ResearchInColor,1.1301325846949847e+18,1130132584694984704,Research In Color Foundation,ResearchInColor,"Princeton, NJ",We provide mentoring and financial support for prospective PhD students of color doing independent research in economics-based disciplines. #painttheprofession,https://t.co/uU4xzn84T7,"[{'url': 'https://t.co/uU4xzn84T7', 'expanded_url': 'http://www.researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",[],False,387.0,334.0,6.0,Sun May 19 15:26:19 +0000 2019,242.0,,,False,False,222.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_banners/1130132584694984704/1560608028,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,7.0,False,False,en
27,Fri Jan 24 13:01:33 +0000 2020,1220693118112149506,1220693118112149506,"Mentor 10. Dr. Nishith Prakash (@Prof_Nishith_P)- an Econ prof @UConn w/ a PhD from @UHouston. His research focuses on the relationship between gov’t policies and econ dev, and uses empirical evidence to study the impact of policies and institutions in enabling inclusive growth.",False,"[0, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220325057639088e+18,1220325057639088128,1.1301325846949847e+18,1130132584694984704,ResearchInColor,,,,False,1,7,False,False,en,[],[],"[{'screen_name': 'Prof_Nishith_P', 'name': 'Nishith Prakash', 'id': 885710908013424644, 'id_str': '885710908013424644', 'indices': [32, 47]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [63, 69]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [84, 93]}]",[],en,recent,1130132584694984704,1130132584694984704,Research In Color Foundation,ResearchInColor,"Princeton, NJ",We provide mentoring and financial support for prospective PhD students of color doing independent research in economics-based disciplines. #painttheprofession,https://t.co/uU4xzn84T7,[],False,387,334,6,Sun May 19 15:26:19 +0000 2019,242,,,False,False,222,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_images/1148992413769379842/qfII4kJY_normal.jpg,https://pbs.twimg.com/profile_banners/1130132584694984704/1560608028,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/uU4xzn84T7', 'expanded_url': 'http://www.researchincolor.org', 'display_url': 'researchincolor.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fri Jan 24 12:40:35 +0000 2020,1220687840301985793,1220687840301985793,@UHpres Wow!!! As a @UHouston grad but faculty @UConn I a@ conflicted. All congratulations to UH!!,False,"[8, 98]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205637489325384e+18,1220563748932538374,45962278.0,45962278,UHpres,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UHpres', 'name': 'Renu Khator', 'id': 45962278, 'id_str': '45962278', 'indices': [0, 7]}, {'screen_name': 'UHouston', 'name': 'University of Houston', 'id': 107145333, 'id_str': '107145333', 'indices': [20, 29]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [47, 53]}]",[],en,recent,885710908013424644,885710908013424644,Nishith Prakash,Prof_Nishith_P,"Connecticut, USA","Development Economist at UConn with research interests in Education, Political Economy & Program Evaluation | Fellow at Harvard Kennedy School",https://t.co/HNVq4J66HV,[],False,1584,931,18,Fri Jul 14 04:01:50 +0000 2017,15121,,,True,False,5943,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/885715687175540736/PvBfe-de_normal.jpg,https://pbs.twimg.com/profile_images/885715687175540736/PvBfe-de_normal.jpg,https://pbs.twimg.com/profile_banners/885710908013424644/1564622095,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,"[{'url': 'https://t.co/HNVq4J66HV', 'expanded_url': 'https://sites.google.com/site/nishithprakash1978/', 'display_url': 'sites.google.com/site/nishithpr…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 11:56:58 +0000 2020,1220676866979368961,1220676866979368961,@Irizarry1487 @UConn Why we do what we do 🤗,False,"[21, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205274252531917e+18,1220527425253191681,1.1284817818948526e+18,1128481781894852611,Irizarry1487,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Irizarry1487', 'name': 'Christina Irizarry', 'id': 1128481781894852611, 'id_str': '1128481781894852611', 'indices': [0, 13]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [14, 20]}]",[],en,recent,862440343081553920,862440343081553920,Anastasia DiFedele-Dutton,AnastasiaDDToGo,,UConn EDLR Doctoral candidate|Hartford Public Schools educator| LF Academy 2021|Tweets my own but 9/10 about work & school|✨here’s to the journey✌🏼💫,,[],False,390,1365,1,Wed May 10 22:52:55 +0000 2017,6200,,,True,False,1256,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1022632544922218496/dvVIhH2V_normal.jpg,https://pbs.twimg.com/profile_images/1022632544922218496/dvVIhH2V_normal.jpg,https://pbs.twimg.com/profile_banners/862440343081553920/1568251459,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fri Jan 24 04:38:55 +0000 2020,1220566625184694272,1220566625184694272,@FalFather @UConn Is that friend Orlandis Gary? Or #OrrlandisGary,False,"[18, 65]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205603732098621e+18,1220560373209862145,1.1530536321721057e+18,1153053632172105729,FalFather,,,,False,0,0,False,False,en,"[{'text': 'OrrlandisGary', 'indices': [51, 65]}]",[],"[{'screen_name': 'FalFather', 'name': 'Dog - Can I Phone A Friend? Mike @Babchik', 'id': 1153053632172105729, 'id_str': '1153053632172105729', 'indices': [0, 10]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [11, 17]}]",[],en,recent,253712456,253712456,West Coast FAL,codym7,"Turlock, Ca",Science Teacher & Bad Ass Dad!😎 member of FAL Nation. #FALnation,,[],False,191,901,1,Thu Feb 17 20:29:08 +0000 2011,2672,,,True,False,3408,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/879731680675733504/uXaaITKx_normal.jpg,https://pbs.twimg.com/profile_images/879731680675733504/uXaaITKx_normal.jpg,https://pbs.twimg.com/profile_banners/253712456/1568685979,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fri Jan 24 02:03:09 +0000 2020,1220527425253191681,1220527425253191681,@AnastasiaDDToGo @UConn OMG!!! She's one of my faves too!! She's awesome!!!,False,"[24, 75]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220486511348605e+18,1220486511348604934,8.624403430815539e+17,862440343081553920,AnastasiaDDToGo,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'AnastasiaDDToGo', 'name': 'Anastasia DiFedele-Dutton', 'id': 862440343081553920, 'id_str': '862440343081553920', 'indices': [0, 16]}, {'screen_name': 'UConn', 'name': 'UConn', 'id': 84327770, 'id_str': '84327770', 'indices': [17, 23]}]",[],en,recent,1128481781894852611,1128481781894852611,Christina Irizarry,Irizarry1487,,Student. Proud Latina. First Gen. Educator. Mentor. Ed.D Candidate. EDLR Scholar.,,[],False,44,176,0,Wed May 15 02:06:37 +0000 2019,499,,,True,False,146,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1185175584361635843/Khmxjeda_normal.jpg,https://pbs.twimg.com/profile_images/1185175584361635843/Khmxjeda_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
