,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Sun Jan 26 05:39:32 +0000 2020,1221306656576851968,1221306656576851968,"RT @mca178: Congratulations Prof Laura Poole-Warren on being made a Member of the Order of Australia for significant service to education,…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'mca178', 'name': 'Sally McArthur', 'id': 246090718, 'id_str': '246090718', 'indices': [3, 10]}]",[],en,recent,3288876571,3288876571,Dr Justin Bourke,DrJustinBourke,"Wollongong, New South Wales","@ARC_ACES Research Fellow, Biomedical Engineer, Electrophysiologist, Tissue Engineer. @WomenSciAUST Executive (he/him | they/them)",,[],False,677,1449,8,Thu Jul 23 13:12:21 +0000 2015,762,,,True,False,290,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/923479801888849920/H6J68XGP_normal.jpg,https://pbs.twimg.com/profile_images/923479801888849920/H6J68XGP_normal.jpg,https://pbs.twimg.com/profile_banners/3288876571/1571952028,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sun Jan 26 04:26:15 +0000 2020,1.221288215837057e+18,1221288215837057025,"Congratulations Prof Laura Poole-Warren on being made a Member of the Order of Australia for significant service to education, and to biomedical engineering. #legend  #WomeninBiomedicalEngineering  @ASBTE1 #WomenInSTEM @UNSW #inspirationalmentor @la_warren",False,"[0, 256]","[{'text': 'legend', 'indices': [158, 165]}, {'text': 'WomeninBiomedicalEngineering', 'indices': [167, 196]}, {'text': 'WomenInSTEM', 'indices': [206, 218]}, {'text': 'inspirationalmentor', 'indices': [225, 245]}]",[],"[{'screen_name': 'ASBTE1', 'name': 'ASBTE', 'id': 1094706161532596224, 'id_str': '1094706161532596224', 'indices': [198, 205]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [219, 224]}, {'screen_name': 'la_warren', 'name': 'Laura Poole-Warren', 'id': 1442301786, 'id_str': '1442301786', 'indices': [246, 256]}]",[],en,recent,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,246090718.0,246090718,Sally McArthur,mca178,"Melbourne, Australia","Regional Director @mdpprogram, @Swinburne Engineer, @CSIRO Research+ Science Leader, cheering industry-led research. Editor @Biointerphases. My own opinion",,[],False,2243.0,1198.0,270.0,Wed Feb 02 03:14:46 +0000 2011,10070.0,,,True,False,18282.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/616346341334228992/RO-4WhVe_normal.jpg,https://pbs.twimg.com/profile_images/616346341334228992/RO-4WhVe_normal.jpg,https://pbs.twimg.com/profile_banners/246090718/1530593489,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,3.0,5.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,
2,Sun Jan 26 04:26:15 +0000 2020,1221288215837057025,1221288215837057025,"Congratulations Prof Laura Poole-Warren on being made a Member of the Order of Australia for significant service to education, and to biomedical engineering. #legend  #WomeninBiomedicalEngineering  @ASBTE1 #WomenInSTEM @UNSW #inspirationalmentor @la_warren",False,"[0, 256]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,3,5,False,False,en,"[{'text': 'legend', 'indices': [158, 165]}, {'text': 'WomeninBiomedicalEngineering', 'indices': [167, 196]}, {'text': 'WomenInSTEM', 'indices': [206, 218]}, {'text': 'inspirationalmentor', 'indices': [225, 245]}]",[],"[{'screen_name': 'ASBTE1', 'name': 'ASBTE', 'id': 1094706161532596224, 'id_str': '1094706161532596224', 'indices': [198, 205]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [219, 224]}, {'screen_name': 'la_warren', 'name': 'Laura Poole-Warren', 'id': 1442301786, 'id_str': '1442301786', 'indices': [246, 256]}]",[],en,recent,246090718,246090718,Sally McArthur,mca178,"Melbourne, Australia","Regional Director @mdpprogram, @Swinburne Engineer, @CSIRO Research+ Science Leader, cheering industry-led research. Editor @Biointerphases. My own opinion",,[],False,2243,1198,270,Wed Feb 02 03:14:46 +0000 2011,10070,,,True,False,18282,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/616346341334228992/RO-4WhVe_normal.jpg,https://pbs.twimg.com/profile_images/616346341334228992/RO-4WhVe_normal.jpg,https://pbs.twimg.com/profile_banners/246090718/1530593489,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun Jan 26 01:49:17 +0000 2020,1221248711142989830,1221248711142989830,"RT @UNSW: Congratulations also to UNSW's Dr Frank Patrick Brennan, Prof Martin Evald Krygier (@KrygierM), Prof Laura Poole-Warren (@la_warr…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [3, 8]}, {'screen_name': 'KrygierM', 'name': 'Martin Krygier', 'id': 1253742474, 'id_str': '1253742474', 'indices': [94, 103]}]",[],en,recent,1169050314961326080,1169050314961326080,Christina_Rofe2,ChristinaRofe2,,"Life is special - Working at UNSW Graduate School of Biomedical Engineering, and UNSW Node CNBP. https://t.co/hEU2EniwXX - Views are my own.",,"[{'url': 'https://t.co/hEU2EniwXX', 'expanded_url': 'http://cnbp.org.au', 'display_url': 'cnbp.org.au', 'indices': [97, 120]}]",False,52,129,0,Wed Sep 04 00:52:27 +0000 2019,286,,,False,False,187,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214370835340742657/WditBZKX_normal.jpg,https://pbs.twimg.com/profile_images/1214370835340742657/WditBZKX_normal.jpg,https://pbs.twimg.com/profile_banners/1169050314961326080/1567561138,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 25 20:52:59 +0000 2020,1.2211741449406956e+18,1221174144940695552,"Congratulations also to UNSW's Dr Frank Patrick Brennan, Prof Martin Evald Krygier (@KrygierM), Prof Laura Poole-Warren (@la_warren), Prof Kenneth Thomas Trotman and Matthew Grounds who all received an AM. #AustraliaDayHonours",False,"[0, 226]","[{'text': 'AustraliaDayHonours', 'indices': [206, 226]}]",[],"[{'screen_name': 'KrygierM', 'name': 'Martin Krygier', 'id': 1253742474, 'id_str': '1253742474', 'indices': [84, 93]}, {'screen_name': 'la_warren', 'name': 'Laura Poole-Warren', 'id': 1442301786, 'id_str': '1442301786', 'indices': [121, 131]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2211740031942e+18,1221174003194200065,14769030.0,14769030,UNSW,14769030.0,14769030,UNSW,UNSW,"Sydney, Australia","The official UNSW Twitter account, sharing news and events from #UNSW, straight from the Lion's mouth.

CRICOS Provider no. 00098G",http://t.co/kdrD0OfPkr,[],False,50628.0,1347.0,618.0,Wed May 14 04:11:07 +0000 2008,12366.0,,,True,True,9473.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1102327996281610240/U-j4gnz__normal.png,https://pbs.twimg.com/profile_images/1102327996281610240/U-j4gnz__normal.png,https://pbs.twimg.com/profile_banners/14769030/1488256402,0059B3,FFFFFF,FFFFFF,000000,True,False,False,False,False,False,False,none,,,,,False,4.0,7.0,False,False,en,"[{'url': 'http://t.co/kdrD0OfPkr', 'expanded_url': 'http://www.unsw.edu.au', 'display_url': 'unsw.edu.au', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 23:58:26 +0000 2020,1221220815628161024,1221220815628161024,"RT @carlatreloar: Congratulations @AlisonRitter1 AO for distinguished service to education, to drug and alcohol research and social policy,…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,7,0,False,False,en,[],[],"[{'screen_name': 'carlatreloar', 'name': 'Carla Treloar', 'id': 119356934, 'id_str': '119356934', 'indices': [3, 16]}, {'screen_name': 'AlisonRitter1', 'name': 'Alison Ritter', 'id': 413543689, 'id_str': '413543689', 'indices': [34, 48]}]",[],en,recent,963949658,963949658,Claire Vajdic,ClaireVajdic,"Sydney, Australia","Cancer epidemiologist and population health researcher based at the Centre for Big Data Research in Health, UNSW Australia. Tweet in a personal capacity",,[],False,426,185,26,Thu Nov 22 09:35:27 +0000 2012,1283,,,True,False,2798,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/580342064522534912/JVOmhtOO_normal.jpg,https://pbs.twimg.com/profile_images/580342064522534912/JVOmhtOO_normal.jpg,https://pbs.twimg.com/profile_banners/963949658/1549012919,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 25 21:08:33 +0000 2020,1.2211780625632297e+18,1221178062563229696,"Congratulations @AlisonRitter1 AO for distinguished service to education, to drug and alcohol research and social policy, and to professional medical services @DrugPolicy_DPMP @SPRC_UNSW @UNSW. A remarkable acknowledgement for a remarkable person!",False,"[0, 247]",[],[],"[{'screen_name': 'AlisonRitter1', 'name': 'Alison Ritter', 'id': 413543689, 'id_str': '413543689', 'indices': [16, 30]}, {'screen_name': 'DrugPolicy_DPMP', 'name': 'DPMP', 'id': 581414267, 'id_str': '581414267', 'indices': [159, 175]}, {'screen_name': 'SPRC_UNSW', 'name': 'UNSW Social Policy Research Centre', 'id': 68821461, 'id_str': '68821461', 'indices': [176, 186]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [187, 192]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,119356934.0,119356934,Carla Treloar,carlatreloar,,"Scientia Professor, FASSA l Centre for Social Research in Health | Social Policy Research Centre | UNSW Sydney. she/her",https://t.co/7zEBDJDIYK,[],False,1350.0,214.0,21.0,Wed Mar 03 11:54:30 +0000 2010,1970.0,,,False,False,5316.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/471540801525133312/qzTiiD_B_normal.jpeg,https://pbs.twimg.com/profile_images/471540801525133312/qzTiiD_B_normal.jpeg,https://pbs.twimg.com/profile_banners/119356934/1551606662,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,7.0,43.0,False,False,en,"[{'url': 'https://t.co/7zEBDJDIYK', 'expanded_url': 'https://www.arts.unsw.edu.au/about-us/people/carla-treloar/', 'display_url': 'arts.unsw.edu.au/about-us/peopl…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 22:44:51 +0000 2020,1221202299776684032,1221202299776684032,"@adruin @UNSW You are kind. As you know, it’s your experience to balance such roles that I look to for inspiration. @DelightfulApps is also a great inspiration in balancing leadership, service and research. I’ve learnt so many things from so many people in our community. Long may it continue!",False,"[14, 293]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212016912042926e+18,1221201691204292610,107286421.0,107286421,adruin,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'adruin', 'name': 'Allison Druin', 'id': 107286421, 'id_str': '107286421', 'indices': [0, 7]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [8, 13]}, {'screen_name': 'DelightfulApps', 'name': 'Simon & Matt', 'id': 2822187234, 'id_str': '2822187234', 'indices': [116, 131]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
14,Sat Jan 25 22:38:16 +0000 2020,1221200641508478982,1221200641508478982,@joyzucker @feraldata @UNSW Thanks!,False,"[28, 35]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202253543227597e+18,1220225354322759682,528081572.0,528081572,joyzucker,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'joyzucker', 'name': 'Joy Dargent Zucker', 'id': 528081572, 'id_str': '528081572', 'indices': [0, 10]}, {'screen_name': 'feraldata', 'name': 'Genevieve Bell', 'id': 96049182, 'id_str': '96049182', 'indices': [11, 21]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [22, 27]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
15,Sat Jan 25 22:38:10 +0000 2020,1221200617898536960,1221200617898536960,"@ritsos_p @UNSW Thank you, exciting times",False,"[16, 41]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202667959170867e+18,1220266795917086720,37619291.0,37619291,ritsos_p,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ritsos_p', 'name': 'Panagiotis D. Ritsos', 'id': 37619291, 'id_str': '37619291', 'indices': [0, 9]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [10, 15]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
16,Sat Jan 25 22:38:03 +0000 2020,1221200585627586560,1221200585627586560,@abek42 @UNSW Thanks,False,"[14, 20]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202716198489702e+18,1220271619848970241,171895781.0,171895781,abek42,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'abek42', 'name': 'Abe', 'id': 171895781, 'id_str': '171895781', 'indices': [0, 7]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [8, 13]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
17,Sat Jan 25 22:37:58 +0000 2020,1221200566648369152,1221200566648369152,@kruiteen @UNSW Thanks,False,"[16, 22]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22027384718805e+18,1220273847188049920,1.1461725143070638e+18,1146172514307063808,kruiteen,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'kruiteen', 'name': 'kruiteen', 'id': 1146172514307063808, 'id_str': '1146172514307063808', 'indices': [0, 9]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [10, 15]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
18,Sat Jan 25 22:37:53 +0000 2020,1221200544028450816,1221200544028450816,@tagwacheit @UNSW It’s a reminder of the challenges we face to keep our species alive within the bounds of what this planet affords us.,False,"[18, 135]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203133180924436e+18,1220313318092443650,8.6040064105472e+17,860400641054720000,tagwacheit,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'tagwacheit', 'name': 'Mona K🏆🐯Still waiting 4 ICAC⚡', 'id': 860400641054720000, 'id_str': '860400641054720000', 'indices': [0, 11]}, {'screen_name': 'UNSW', 'name': 'UNSW', 'id': 14769030, 'id_str': '14769030', 'indices': [12, 17]}]",[],en,recent,15219932,15219932,aquigley,aquigley,"Scotland, United Kingdom","Aaron Quigley, Professor @univofstandrews Director @sicsa_scotland incoming Head of School in Computer Science and Engineering @unsw Australia",https://t.co/3AEnqicrlR,[],False,4462,1756,283,Tue Jun 24 14:30:53 +0000 2008,17862,,,True,False,53291,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_images/1166268368514703361/bQjN2RC7_normal.jpg,https://pbs.twimg.com/profile_banners/15219932/1565990115,FF691F,AAAEB5,FFFFFF,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/3AEnqicrlR', 'expanded_url': 'https://aaronquigley.org', 'display_url': 'aaronquigley.org', 'indices': [0, 23]}]",,,,,,,,,,,bb3cae69f9e1ecb5,https://api.twitter.com/1.1/geo/id/bb3cae69f9e1ecb5.json,city,Aoba-ku,"Aoba-ku, Miyagi",JP,Japan,[],Polygon,"[[[140.563283, 38.23675], [140.899833, 38.23675], [140.899833, 38.454521], [140.563283, 38.454521]]]"
