,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
31,Fri Jan 24 16:48:40 +0000 2020,1220750274727301121,1220750274727301121,"RT @LianaSEHone: @Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David Di…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'LianaSEHone', 'name': 'Liana Hone', 'id': 1355703662, 'id_str': '1355703662', 'indices': [3, 15]}, {'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [17, 31]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [32, 39]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [74, 83]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [120, 130]}]",[],en,recent,2945536038,2945536038,Sonalee Joshi,sonalee_joshi,,"M.S., Doctoral Candidate, Clinical Science @umich
Indian American Photographer & Artist. (She/her)",,[],False,189,207,3,Sat Dec 27 23:38:10 +0000 2014,16443,,,True,False,2749,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_banners/2945536038/1550523023,FFCC4D,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,Fri Jan 24 16:17:01 +0000 2020,1.2207423076847657e+18,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]",[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,1355703662.0,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,[],False,253.0,485.0,2.0,Tue Apr 16 00:48:18 +0000 2013,1400.0,,,True,False,381.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,1.0,4.0,False,False,en,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",,,,,,,,,,
33,Fri Jan 24 16:17:01 +0000 2020,1220742307684765697,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,,,,,False,1,4,False,False,en,[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,1355703662,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,[],False,253,485,2,Tue Apr 16 00:48:18 +0000 2013,1400,,,True,False,381,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fri Jan 24 02:49:04 +0000 2020,1220538982607605761,1220538982607605761,"@IowaWBB Where are the captions ⁉️

Captions are required by @uiowa policy and #ADA federal law. You need to include them. 

Please stop discriminating against your disabled fans.",False,"[9, 179]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201002730807624e+18,1220100273080762368,902089998.0,902089998,IowaWBB,,,,,False,0,0,False,False,en,"[{'text': 'ADA', 'indices': [79, 83]}]",[],"[{'screen_name': 'IowaWBB', 'name': ""Iowa Women's BBall"", 'id': 902089998, 'id_str': '902089998', 'indices': [0, 8]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [61, 67]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fri Jan 24 00:22:42 +0000 2020,1220502149483978758,1220502149483978758,"@IowaHoops Where are the captions? @uiowa policy requires captions as does federal law #ADA

Discriminating against your disabled fans is pretty poor PR

#DisabledAtIowa",False,"[11, 169]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2183649566321336e+18,1218364956632133632,55590247.0,55590247,IowaHoops,,,,,False,0,0,False,False,en,"[{'text': 'ADA', 'indices': [87, 91]}, {'text': 'DisabledAtIowa', 'indices': [154, 169]}]",[],"[{'screen_name': 'IowaHoops', 'name': 'Iowa Basketball', 'id': 55590247, 'id_str': '55590247', 'indices': [0, 10]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [35, 41]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fri Jan 24 00:18:38 +0000 2020,1220501126296023040,1220501126296023040,"@IowaHoops Where are the captions? @uiowa policy requires captions as does federal law #ADA

Discriminating against your disabled fans is a pretty poor choice in PR",False,"[11, 164]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.21862442011537e+18,1218624420115369984,55590247.0,55590247,IowaHoops,,,,,False,0,0,False,False,en,"[{'text': 'ADA', 'indices': [87, 91]}]",[],"[{'screen_name': 'IowaHoops', 'name': 'Iowa Basketball', 'id': 55590247, 'id_str': '55590247', 'indices': [0, 10]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [35, 41]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Fri Jan 24 00:06:00 +0000 2020,1220497943423262721,1220497943423262721,"@IowaHoops Where are the captions? 

@uiowa policy requires captions as does federal law. #ADA",False,"[11, 94]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197294163953295e+18,1219729416395329536,55590247.0,55590247,IowaHoops,,,,,False,0,0,False,False,en,"[{'text': 'ADA', 'indices': [90, 94]}]",[],"[{'screen_name': 'IowaHoops', 'name': 'Iowa Basketball', 'id': 55590247, 'id_str': '55590247', 'indices': [0, 10]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [37, 43]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Thu Jan 23 22:57:41 +0000 2020,1220480752594432000,1220480752594432000,@rayadverb I fondly remember your brief run for president in 1992 --prompted by a @uiowa speaking gig. I think you kissed a pig on your short-lived Iowa campaign (must have been before worries about foot &amp; mouth disease?).,False,"[11, 226]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204795304370504e+18,1220479530437050377,25295123.0,25295123,rayadverb,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'rayadverb', 'name': 'Dave Barry', 'id': 25295123, 'id_str': '25295123', 'indices': [0, 10]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [82, 88]}]",[],en,recent,17539638,17539638,Jennifer E Moore,jem2998,"Duluth, MN",Associate professor of journalism | University of Minnesota Duluth | Alum @UIowa (BA) & @UMN_HSJMC (MA & PhD) | she/her/hers,https://t.co/n1foc2wjN3,[],False,1033,1219,74,Fri Nov 21 16:33:48 +0000 2008,5945,,,True,False,5606,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/562273015203778560/zxRwArqz_normal.jpeg,https://pbs.twimg.com/profile_images/562273015203778560/zxRwArqz_normal.jpeg,https://pbs.twimg.com/profile_banners/17539638/1564012032,154D40,5ED4DC,95E8EC,3C3940,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/n1foc2wjN3', 'expanded_url': 'http://onerivermn.com', 'display_url': 'onerivermn.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Thu Jan 23 19:27:21 +0000 2020,1220427820897374209,1220427820897374209,@UI_GPSG @uiowa @uisdaa That’s you!!!,False,"[16, 37]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204095928170783e+18,1220409592817078273,320943565.0,320943565,UI_GPSG,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UI_GPSG', 'name': 'Graduate and Professional Student Government', 'id': 320943565, 'id_str': '320943565', 'indices': [0, 8]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [9, 15]}, {'screen_name': 'uisdaa', 'name': 'UI Students for Disability Advocacy & Awareness', 'id': 1167086571083980801, 'id_str': '1167086571083980801', 'indices': [16, 23]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Thu Jan 23 19:24:54 +0000 2020,1220427203256692743,1220427203256692743,@UI_GPSG @uiowa @ReUnionBrewery Accessibility statement?,False,"[32, 56]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204104630596116e+18,1220410463059611649,320943565.0,320943565,UI_GPSG,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UI_GPSG', 'name': 'Graduate and Professional Student Government', 'id': 320943565, 'id_str': '320943565', 'indices': [0, 8]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [9, 15]}, {'screen_name': 'ReUnionBrewery', 'name': 'ReUnion Brewery', 'id': 3972257353, 'id_str': '3972257353', 'indices': [16, 31]}]",[],en,recent,1162349851214045184,1162349851214045184,Claire,UISenatorMiller,,Disability Constituency Senator in UI Student Government ‘19-20 - she/her/hers - views are my own but they represent the interests of my constituency,,[],False,22,139,0,Fri Aug 16 13:06:27 +0000 2019,66,,,True,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_images/1168337234925367300/hXt7OnaV_normal.jpg,https://pbs.twimg.com/profile_banners/1162349851214045184/1567388208,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Thu Jan 23 19:08:57 +0000 2020,1220423189920210945,1220423189920210945,"@mediawise @tyleroakley Hello, just curious. If Facebook and the poynter institute want “access to independent, non-partisan and credible information” for first time voters, Why would they send a far-left progressive activist vlogger to @uiowa. Seems counter productive right? Thanks",False,"[24, 283]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200906466121277e+18,1220090646612127746,1.0149621230872044e+18,1014962123087204353,mediawise,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'mediawise', 'name': 'MediaWise', 'id': 1014962123087204353, 'id_str': '1014962123087204353', 'indices': [0, 10]}, {'screen_name': 'tyleroakley', 'name': 'tyler oakley', 'id': 14222536, 'id_str': '14222536', 'indices': [11, 23]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [237, 243]}]",[],en,recent,174580559,174580559,Zac,SuperBuilta,"Iowa City, IA","Scientist, athlete, adventurer, adrenaline junkie",,[],False,77,894,8,Wed Aug 04 08:11:06 +0000 2010,805,,,False,False,2515,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1099135866923085825/sjIp3qPk_normal.jpg,https://pbs.twimg.com/profile_images/1099135866923085825/sjIp3qPk_normal.jpg,https://pbs.twimg.com/profile_banners/174580559/1550894292,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
